filtrada[0], 0,
filtrada[1], 0,
filtrada[2], 0,
filtrada[3], 0,
filtrada[4], 1,
filtrada[5], 1,
filtrada[6], 2,
filtrada[7], 1,
filtrada[8], -1,
filtrada[9], -6,
filtrada[10], -14,
filtrada[11], -23,
filtrada[12], -30,
filtrada[13], -22,
filtrada[14], 15,
filtrada[15], 103,
filtrada[16], 267,
filtrada[17], 529,
filtrada[18], 904,
filtrada[19], 1388,
filtrada[20], 1954,
filtrada[21], 2547,
filtrada[22], 3086,
filtrada[23], 3471,
filtrada[24], 3598,
filtrada[25], 3375,
filtrada[26], 2747,
filtrada[27], 1704,
filtrada[28], 294,
filtrada[29], -1380,
filtrada[30], -3177,
filtrada[31], 4924,
filtrada[32], 11347,
filtrada[33], 14826,
filtrada[34], 14864,
filtrada[35], 11860,
filtrada[36], 6984,
filtrada[37], 1844,
filtrada[38], -1960,
filtrada[39], -3270,
filtrada[40], -1684,
filtrada[41], 2346,
filtrada[42], 7658,
filtrada[43], 12716,
filtrada[44], 16047,
filtrada[45], 16659,
filtrada[46], 14322,
filtrada[47], 9635,
filtrada[48], 3861,
filtrada[49], -1425,
filtrada[50], -4773,
filtrada[51], -5262,
filtrada[52], -2757,
filtrada[53], 2052,
filtrada[54], 7836,
filtrada[55], 12999,
filtrada[56], 16113,
filtrada[57], 16312,
filtrada[58], 13530,
filtrada[59], 8517,
filtrada[60], 2631,
filtrada[61], -2544,
filtrada[62], -5635,
filtrada[63], -5861,
filtrada[64], -3252,
filtrada[65], 1361,
filtrada[66], 6574,
filtrada[67], 10802,
filtrada[68], 12716,
filtrada[69], 11617,
filtrada[70], 7626,
filtrada[71], 1662,
filtrada[72], -4815,
filtrada[73], -10208,
filtrada[74], -13204,
filtrada[75], -13157,
filtrada[76], -10245,
filtrada[77], -5426,
filtrada[78], -171,
filtrada[79], 3945,
filtrada[80], 5681,
filtrada[81], 4472,
filtrada[82], 586,
filtrada[83], -4952,
filtrada[84], -10649,
filtrada[85], -14949,
filtrada[86], -16676,
filtrada[87], -15359,
filtrada[88], -11358,
filtrada[89], -5776,
filtrada[90], -154,
filtrada[91], 3964,
filtrada[92], 5441,
filtrada[93], 3871,
filtrada[94], -309,
filtrada[95], -5941,
filtrada[96], -11468,
filtrada[97], -15357,
filtrada[98], -16526,
filtrada[99], -14637,
filtrada[100], -10191,
filtrada[101], -4383,
filtrada[102], 1225,
filtrada[103], 5145,
filtrada[104], 6371,
filtrada[105], 4659,
filtrada[106], 596,
filtrada[107], -4563,
filtrada[108], -9245,
filtrada[109], -11994,
filtrada[110], -11876,
filtrada[111], -8741,
filtrada[112], -3270,
filtrada[113], 3214,
filtrada[114], 9109,
filtrada[115], 12967,
filtrada[116], 13897,
filtrada[117], 11805,
filtrada[118], 7423,
filtrada[119], 2094,
filtrada[120], -2587,
filtrada[121], -5229,
filtrada[122], -5020,
filtrada[123], -1953,
filtrada[124], 3169,
filtrada[125], 8963,
filtrada[126], 13844,
filtrada[127], 16472,
filtrada[128], 16122,
filtrada[129], 12887,
filtrada[130], 7653,
filtrada[131], 1863,
filtrada[132], -2894,
filtrada[133], -5308,
filtrada[134], -4714,
filtrada[135], -1284,
filtrada[136], 4033,
filtrada[137], 9762,
filtrada[138], 14312,
filtrada[139], 16415,
filtrada[140], 15473,
filtrada[141], 11721,
filtrada[142], 6159,
filtrada[143], 277,
filtrada[144], -4365,
filtrada[145], -6565,
filtrada[146], -5813,
filtrada[147], -2433,
filtrada[148], 2505,
filtrada[149], 7487,
filtrada[150], 10970,
filtrada[151], 11816,
filtrada[152], 9609,
filtrada[153], 4771,
filtrada[154], -1551,
filtrada[155], -7797,
filtrada[156], -12422,
filtrada[157], -14320,
filtrada[158], -13129,
filtrada[159], -9324,
filtrada[160], -4091,
filtrada[161], 1009,
filtrada[162], 4472,
filtrada[163], 5261,
filtrada[164], 3100,
filtrada[165], -1458,
filtrada[166], -7178,
filtrada[167], -12497,
filtrada[168], -15948,
filtrada[169], -16576,
filtrada[170], -14200,
filtrada[171], -9466,
filtrada[172], -3677,
filtrada[173], 1582,
filtrada[174], 4860,
filtrada[175], 5262,
filtrada[176], 2680,
filtrada[177], -2164,
filtrada[178], -7927,
filtrada[179], -13005,
filtrada[180], -15980,
filtrada[181], -16011,
filtrada[182], -13061,
filtrada[183], -7904,
filtrada[184], -1913,
filtrada[185], 3323,
filtrada[186], 6441,
filtrada[187], 6682,
filtrada[188], 4099,
filtrada[189], -456,
filtrada[190], -5572,
filtrada[191], -9669,
filtrada[192], -11435,
filtrada[193], -10198,
filtrada[194], -6113,
filtrada[195], -118,
filtrada[196], 6317,
filtrada[197], 11591,
filtrada[198], 14419,
filtrada[199], 14178,
filtrada[200], 11079,
filtrada[201], 6107,
filtrada[202], 746,
filtrada[203], -3427,
filtrada[204], -5186,
filtrada[205], -3990,
filtrada[206], -129,
filtrada[207], 5352,
filtrada[208], 10952,
filtrada[209], 15123,
filtrada[210], 16707,
filtrada[211], 15258,
filtrada[212], 11162,
filtrada[213], 5540,
filtrada[214], -64,
filtrada[215], -4114,
filtrada[216], -5498,
filtrada[217], -3841,
filtrada[218], 391,
filtrada[219], 6017,
filtrada[220], 11474,
filtrada[221], 15233,
filtrada[222], 16234,
filtrada[223], 14168,
filtrada[224], 9561,
filtrada[225], 3633,
filtrada[226], -2051,
filtrada[227], -6007,
filtrada[228], -7248,
filtrada[229], -5552,
filtrada[230], -1529,
filtrada[231], 3554,
filtrada[232], 8123,
filtrada[233], 10736,
filtrada[234], 10486,
filtrada[235], 7251,
filtrada[236], 1740,
filtrada[237], -4714,
filtrada[238], -10504,
filtrada[239], -14197,
filtrada[240], -14929,
filtrada[241], -12639,
filtrada[242], -8085,
filtrada[243], -2633,
filtrada[244], 2122,
filtrada[245], 4795,
filtrada[246], 4596,
filtrada[247], 1544,
filtrada[248], -3539,
filtrada[249], -9253,
filtrada[250], -14021,
filtrada[251], -16513,
filtrada[252], -16030,
